blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
0,13893,30,157,36,12992,0,5,6,4,13,0,0,0,0,0,0,0,0,0,0,0,14448,32,161,44,13004,1,6,5,5,17,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,15222,32,162,27,11811,1,8,6,7,26,1,0,0,0,0,0,0,0,0,0,0,14276,32,166,46,8921,0,6,8,5,15,15,0,0,0,0,0,0,0,1,1,0,33,0,0,0,0,0,0,0,0,1,0,0,0
0,13725,32,204,52,10995,0,2,4,2,15,0,0,0,0,0,0,0,0,0,0,0,13908,32,165,52,8746,1,4,2,5,10,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,14913,32,211,48,11502,1,4,2,3,15,2,0,0,0,0,0,0,0,0,0,0,13612,33,195,52,8464,0,2,4,2,11,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
1,14186,33,159,40,12746,0,6,8,5,16,2,0,0,0,0,0,0,0,1,1,0,14370,32,172,56,9972,1,8,6,1,10,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0
1,14741,34,190,52,12015,1,4,3,3,0,2,0,0,0,0,0,0,0,0,0,0,13437,34,190,44,10897,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
0,13328,31,167,48,8574,1,3,8,3,31,1,0,0,0,0,0,0,0,0,0,0,16078,33,184,47,13885,0,8,3,7,14,13,0,0,0,0,0,0,0,1,1,0,34,0,0,0,0,0,0,0,0,0,0,1,0
0,13762,32,187,52,9334,0,4,6,1,11,1,0,0,0,0,0,0,0,0,0,0,14638,31,166,40,10114,1,6,4,5,215,2,0,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,1,0,0
0,13964,31,156,47,12979,0,7,8,3,8,1,0,0,0,0,0,0,0,0,0,0,14863,31,160,40,10482,1,8,7,6,12,2,0,0,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,0,0,0,0,1,0
1,12994,33,181,40,10527,0,3,4,5,17,2,0,0,0,0,0,0,0,0,0,0,14078,33,188,48,9199,1,4,3,3,14,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
1,16545,33,167,43,15188,0,8,7,12,0,3,0,0,0,0,0,0,0,1,1,0,14419,32,171,28,10972,1,7,8,3,0,1,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0
0,14005,33,164,56,9986,0,4,3,2,11,0,0,0,0,0,0,0,0,0,0,0,13320,32,166,52,9106,1,3,4,2,13,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
0,14814,32,150,48,15292,0,7,4,5,80,2,0,0,0,0,0,0,0,0,0,0,13552,31,148,48,12025,1,4,7,2,12,3,0,0,0,0,0,0,0,1,1,0,41,0,0,0,0,0,0,1,0,0,0,0,0
1,15977,33,176,40,13203,0,8,8,5,14,7,0,0,0,0,0,0,0,0,0,0,16049,32,173,56,12780,1,8,8,7,13,3,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0
