,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
0,False,1,0,0,0,27,180,0.1999999999999993,-12,13,2977,-1,1,1,4,0,0,0,0,0,0,-1,1
1,False,1,0,0,0,25,-498,0.0,-5,-28,-2964,2,-1,1,2,0,0,0,0,0,-1,0,0
2,True,0,0,0,1,22,1543,0.0,-15,18,-668,2,6,0,-1,0,0,0,0,0,1,0,1
3,False,0,0,0,0,17,-1765,-0.1999999999999993,15,16,2495,-4,-4,0,0,0,0,0,0,0,0,0,0
4,False,0,0,0,0,19,-3599,-0.39999999999999947,-16,4,-2753,-7,-9,-7,3,0,0,0,0,0,0,0,0
5,False,0,0,0,0,37,-2159,-0.20000000000000018,-32,-21,-826,-2,0,-9,-4,0,0,0,0,0,0,-1,0
6,True,1,0,0,0,28,-191,0.39999999999999947,-27,8,-1144,0,-1,-9,-2,0,0,0,0,0,-1,0,0
7,False,0,0,0,0,17,-864,-0.39999999999999947,-19,4,1254,-3,-5,-162,1,0,0,0,0,0,-1,1,0
8,False,0,0,0,0,22,-1972,-0.20000000000000018,-20,4,-466,-2,-2,-4,2,0,0,0,0,0,0,0,0
9,False,1,0,0,0,27,906,-0.20000000000000018,-9,0,793,2,7,-28,2,0,0,0,0,0,-1,0,1
10,False,0,0,0,0,17,-2053,-0.5999999999999996,-52,-3,-1477,-1,-2,-3,0,0,0,0,0,0,-1,-1,0
11,False,1,0,0,1,27,69,-0.20000000000000018,-11,-8,2767,2,-1,-6,3,0,0,0,0,0,1,-1,1
12,True,0,0,0,1,21,706,0.39999999999999947,8,2,144,2,2,-9,0,0,0,0,0,0,1,-1,1
13,False,0,0,0,1,24,-2856,-0.39999999999999947,-2,-19,-2544,-4,-9,24,-20,0,0,0,0,0,1,0,0
14,True,1,0,0,1,28,-1000,-0.20000000000000018,-12,8,262,-3,1,-48,1,0,0,0,0,0,1,0,0
15,False,0,0,0,0,17,-2036,0.0,-38,-13,-1375,-3,-2,6,0,0,0,0,0,0,0,-1,0
16,False,1,0,0,0,37,-1325,-0.1999999999999993,-15,-8,-143,-3,-1,4,-1,0,0,0,0,0,-1,0,0
17,True,1,0,0,1,16,2169,0.0,-2,12,4853,4,4,-14,2,0,0,0,0,0,1,1,1
18,True,1,0,0,0,21,968,0.39999999999999947,3,-8,-684,2,5,1,-1,0,0,0,0,0,0,-1,1
19,False,0,0,0,0,17,-5610,-0.5999999999999996,-23,-21,-5353,-8,-10,-10,3,0,0,0,0,0,0,0,0
20,False,1,0,0,0,23,-3468,-0.20000000000000018,8,-6,-1562,-6,-14,-2,7,0,0,0,0,0,-1,0,0
21,False,1,0,0,1,26,-781,-0.20000000000000018,-1,5,-220,-1,1,1,0,0,0,0,0,0,1,-1,0
22,False,0,0,0,0,20,-838,-0.20000000000000018,-5,-7,-477,-3,-3,20,-15,0,0,0,0,0,0,1,0
23,False,1,0,0,0,17,-4661,-0.7999999999999998,-38,-7,-2850,-7,-8,-6,-1,0,0,0,0,0,0,0,0
