,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
0,KR_6419756778,True,23844,4504,38,9.5,338,80,22447,1,13,12,21,26,11,0,0,,0,0,0,0,0,1,"WATER_DRAGON,AIR_DRAGON",2,1,False,30591,4391,52,8.666666666666666,389,72,28037,0,12,13,19,41,9,1,0,BOT_LANE,1,0,0,1,0,0,,0,0
0,KR_6415275424,True,23999,5204,37,9.25,306,82,32867,0,18,11,22,31,10,0,0,,0,0,0,0,0,1,['CHEMTECH_DRAGON'],1,0,False,31548,4533,51,8.5,367,64,34311,1,11,18,19,28,5,1,0,MID_LANE,1,1,0,0,0,0,,0,1
0,KR_6423763038,True,19896,1756,36,9.0,344,83,23703,1,6,12,13,30,11,0,0,,0,0,0,0,0,0,,0,1,False,28466,4411,51,8.5,402,68,24815,0,12,6,15,32,10,0,0,,0,0,0,0,0,1,['HEXTECH_DRAGON'],1,0
0,KR_6416730851,False,19214,3964,35,8.75,292,72,19422,1,5,10,8,28,8,0,0,,0,0,0,0,0,1,['WATER_DRAGON'],1,1,True,28783,4183,53,8.833333333333334,403,75,26929,0,10,5,9,33,10,0,0,,0,0,0,0,0,0,['HEXTECH_DRAGON'],1,0
0,KR_6421561510,False,23906,3216,37,9.25,353,52,24677,1,19,9,24,30,13,0,0,,0,0,0,0,0,1,['EARTH_DRAGON'],1,0,True,28107,3567,49,8.166666666666666,356,72,27863,0,9,19,4,32,9,1,0,TOP_LANE,1,0,1,0,0,0,,0,1
0,KR_6416492046,True,23660,2765,37,9.25,341,76,33410,1,14,6,21,23,11,0,0,,0,0,0,0,0,1,"AIR_DRAGON,CHEMTECH_DRAGON",2,1,False,27858,4318,52,8.666666666666666,388,80,30810,0,6,14,8,27,3,0,0,,0,0,0,0,0,0,,0,0
0,KR_6422949089,False,17444,2634,33,8.25,299,80,20478,0,3,16,4,28,8,0,0,,0,0,0,0,0,0,,0,0,True,31425,6305,53,8.833333333333334,360,67,32588,1,16,3,18,31,11,1,0,BOT_LANE,1,0,0,1,0,1,"CHEMTECH_DRAGON,EARTH_DRAGON",2,1
0,KR_6422970549,False,20384,2499,36,9.0,302,62,21368,0,12,9,12,46,5,0,0,,0,0,0,0,0,0,,0,1,True,31534,4814,51,8.5,406,87,31352,1,9,12,15,35,11,1,0,TOP_LANE,1,0,1,0,0,1,['FIRE_DRAGON'],1,0
0,KR_6416156445,False,22813,2558,37,9.25,335,70,24875,1,9,9,10,34,8,0,0,,0,0,0,0,0,1,['CHEMTECH_DRAGON'],1,1,True,28907,3907,53,8.833333333333334,389,117,25695,0,9,9,9,30,8,1,0,TOP_LANE,1,0,1,0,0,0,['FIRE_DRAGON'],1,0
0,KR_6418358236,True,25205,2470,37,9.25,300,84,28329,0,20,14,29,25,6,0,0,,0,0,0,0,0,0,['CHEMTECH_DRAGON'],1,1,False,30680,2785,49,8.166666666666666,358,55,35458,1,14,20,17,31,9,0,0,,0,0,0,0,0,1,['AIR_DRAGON'],1,0
