,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
0,True,1,0,0,1,41,2427,0.3999999999999986,-5,8,1256,1,2,-15,2,0,0,0,-1,0,2,1,1
1,True,0,0,0,1,26,1881,0.40000000000000036,-5,18,7392,7,3,3,5,0,-1,0,0,0,1,-1,1
2,True,1,0,0,0,33,-1856,-0.20000000000000107,-16,15,2248,-6,-2,-2,1,0,0,0,0,0,-1,1,0
3,False,1,0,0,1,21,-3525,-0.7999999999999989,-67,-3,-5203,-5,-1,-5,-2,0,0,0,0,0,0,1,0
4,False,1,0,0,1,34,4711,0.40000000000000036,25,-20,5352,10,20,-2,4,-1,0,-1,0,0,1,-1,1
5,True,1,0,0,1,20,4638,0.1999999999999993,-1,-4,10766,8,13,-4,8,0,0,0,0,0,2,1,1
6,False,0,0,0,0,17,-6853,-1.1999999999999993,-55,13,-4072,-13,-14,-3,-3,0,0,0,-1,0,-2,-1,0
7,False,0,0,0,0,24,-2190,-0.20000000000000107,-92,-25,-2460,3,-3,11,-6,-1,0,-1,0,0,-1,1,1
8,False,1,0,0,1,36,976,-0.3999999999999986,-10,-47,3704,0,1,4,0,-1,0,-1,0,0,0,1,0
9,True,0,0,0,0,31,3299,0.40000000000000036,-20,29,-279,6,12,-6,-3,0,0,0,0,0,0,1,1
10,True,1,0,0,1,38,-2694,0.1999999999999993,-36,15,-2029,0,-1,-8,6,0,0,0,0,0,1,-1,0
11,True,0,1,0,1,24,721,-0.1999999999999993,-44,-8,4664,7,16,-4,0,1,1,0,0,0,2,1,1
12,False,1,0,0,1,42,854,0.20000000000000107,16,3,-5175,0,1,-4,3,0,0,0,-1,0,1,-1,0
13,True,0,0,0,0,26,1513,0.5999999999999996,11,10,-4268,4,1,44,-3,0,0,0,0,0,0,-1,1
14,False,1,0,0,1,26,-29,-0.20000000000000107,-46,-9,-1596,2,8,-8,9,0,0,0,0,0,1,1,1
15,False,0,0,0,0,31,-411,0.40000000000000036,-9,16,4438,-3,-7,-1,-4,0,0,0,-1,0,-1,-1,0
